00000000      //X=00  Y=00,01,02,03,04,05,06,07 stored @ ROM[000] 
00000111      //X=14  Y=00,01,02,03,04,05,06,07 stored @ ROM[056] 
10010000      //X=14  Y=08,09,10,11,12,13,14,15 stored @ ROM[057] 
00001000      //X=14  Y=16,17,18,19,20,21,22,23 stored @ ROM[058] 
00000100      //X=14  Y=24,25,26,27,28,29,30,31 stored @ ROM[059] 
00101111      //X=15  Y=00,01,02,03,04,05,06,07 stored @ ROM[060] 
11111000      //X=15  Y=08,09,10,11,12,13,14,15 stored @ ROM[061] 
00001000      //X=15  Y=16,17,18,19,20,21,22,23 stored @ ROM[062] 
00000100      //X=15  Y=24,25,26,27,28,29,30,31 stored @ ROM[063] 
01111001      //X=16  Y=00,01,02,03,04,05,06,07 stored @ ROM[064] 
11001000      //X=16  Y=08,09,10,11,12,13,14,15 stored @ ROM[065] 
00001100      //X=16  Y=16,17,18,19,20,21,22,23 stored @ ROM[066] 
00001100      //X=16  Y=24,25,26,27,28,29,30,31 stored @ ROM[067] 
01111000      //X=17  Y=00,01,02,03,04,05,06,07 stored @ ROM[068] 
10000000      //X=17  Y=08,09,10,11,12,13,14,15 stored @ ROM[069] 
00000100      //X=17  Y=16,17,18,19,20,21,22,23 stored @ ROM[070] 
00011000      //X=17  Y=24,25,26,27,28,29,30,31 stored @ ROM[071] 
00110000      //X=18  Y=00,01,02,03,04,05,06,07 stored @ ROM[072] 
00000000      //X=18  Y=08,09,10,11,12,13,14,15 stored @ ROM[073] 
00000011      //X=18  Y=16,17,18,19,20,21,22,23 stored @ ROM[074] 
00010000      //X=18  Y=24,25,26,27,28,29,30,31 stored @ ROM[075] 
00000000      //X=19  Y=00,01,02,03,04,05,06,07 stored @ ROM[076] 
00000000      //X=19  Y=08,09,10,11,12,13,14,15 stored @ ROM[077] 
00000000      //X=19  Y=16,17,18,19,20,21,22,23 stored @ ROM[078] 
11100000      //X=19  Y=24,25,26,27,28,29,30,31 stored @ ROM[079] 
00000001      //X=20  Y=00,01,02,03,04,05,06,07 stored @ ROM[080] 
10000000      //X=20  Y=08,09,10,11,12,13,14,15 stored @ ROM[081] 
00100000      //X=20  Y=16,17,18,19,20,21,22,23 stored @ ROM[082] 
00000000      //X=20  Y=24,25,26,27,28,29,30,31 stored @ ROM[083] 
00000000      //X=21  Y=00,01,02,03,04,05,06,07 stored @ ROM[084] 
10000000      //X=21  Y=08,09,10,11,12,13,14,15 stored @ ROM[085] 
01111000      //X=21  Y=16,17,18,19,20,21,22,23 stored @ ROM[086] 
00000000      //X=21  Y=24,25,26,27,28,29,30,31 stored @ ROM[087] 
00000000      //X=22  Y=00,01,02,03,04,05,06,07 stored @ ROM[088] 
11000000      //X=22  Y=08,09,10,11,12,13,14,15 stored @ ROM[089] 
11000100      //X=22  Y=16,17,18,19,20,21,22,23 stored @ ROM[090] 
00000000      //X=22  Y=24,25,26,27,28,29,30,31 stored @ ROM[091] 
00000000      //X=23  Y=00,01,02,03,04,05,06,07 stored @ ROM[092] 
01000000      //X=23  Y=08,09,10,11,12,13,14,15 stored @ ROM[093] 
10000100      //X=23  Y=16,17,18,19,20,21,22,23 stored @ ROM[094] 
00000000      //X=23  Y=24,25,26,27,28,29,30,31 stored @ ROM[095] 
00000000      //X=24  Y=00,01,02,03,04,05,06,07 stored @ ROM[096] 
01000000      //X=24  Y=08,09,10,11,12,13,14,15 stored @ ROM[097] 
10000100      //X=24  Y=16,17,18,19,20,21,22,23 stored @ ROM[098] 
00000000      //X=24  Y=24,25,26,27,28,29,30,31 stored @ ROM[099] 
00000000      //X=25  Y=00,01,02,03,04,05,06,07 stored @ ROM[100] 
00100000      //X=25  Y=08,09,10,11,12,13,14,15 stored @ ROM[101] 
10001100      //X=25  Y=16,17,18,19,20,21,22,23 stored @ ROM[102] 
00000000      //X=25  Y=24,25,26,27,28,29,30,31 stored @ ROM[103] 
00000000      //X=26  Y=00,01,02,03,04,05,06,07 stored @ ROM[104] 
00100011      //X=26  Y=08,09,10,11,12,13,14,15 stored @ ROM[105] 
10011000      //X=26  Y=16,17,18,19,20,21,22,23 stored @ ROM[106] 
00000000      //X=26  Y=24,25,26,27,28,29,30,31 stored @ ROM[107] 
00000000      //X=27  Y=00,01,02,03,04,05,06,07 stored @ ROM[108] 
00100010      //X=27  Y=08,09,10,11,12,13,14,15 stored @ ROM[109] 
00010000      //X=27  Y=16,17,18,19,20,21,22,23 stored @ ROM[110] 
00000000      //X=27  Y=24,25,26,27,28,29,30,31 stored @ ROM[111] 
00000000      //X=28  Y=00,01,02,03,04,05,06,07 stored @ ROM[112] 
00010100      //X=28  Y=08,09,10,11,12,13,14,15 stored @ ROM[113] 
01110000      //X=28  Y=16,17,18,19,20,21,22,23 stored @ ROM[114] 
00000000      //X=28  Y=24,25,26,27,28,29,30,31 stored @ ROM[115] 
00000000      //X=29  Y=00,01,02,03,04,05,06,07 stored @ ROM[116] 
00001000      //X=29  Y=08,09,10,11,12,13,14,15 stored @ ROM[117] 
01001000      //X=29  Y=16,17,18,19,20,21,22,23 stored @ ROM[118] 
00000000      //X=29  Y=24,25,26,27,28,29,30,31 stored @ ROM[119] 
00000000      //X=30  Y=00,01,02,03,04,05,06,07 stored @ ROM[120] 
00000000      //X=30  Y=08,09,10,11,12,13,14,15 stored @ ROM[121] 
11000000      //X=30  Y=16,17,18,19,20,21,22,23 stored @ ROM[122] 
00000000      //X=30  Y=24,25,26,27,28,29,30,31 stored @ ROM[123] 
00000000      //X=31  Y=00,01,02,03,04,05,06,07 stored @ ROM[124] 
00000000      //X=31  Y=08,09,10,11,12,13,14,15 stored @ ROM[125] 
00000000      //X=31  Y=16,17,18,19,20,21,22,23 stored @ ROM[126] 
00000000      //X=31  Y=24,25,26,27,28,29,30,31 stored @ ROM[127] 
