04906      //Pixel 0: 2.852478e-01
03647      //Pixel 60: 2.120209e-01
0343C      //Pixel 61: 2.040405e-01
03125      //Pixel 62: 1.919708e-01
02E0A      //Pixel 63: 1.798401e-01
0268E      //Pixel 64: 1.506042e-01
029CB      //Pixel 65: 1.632538e-01
02F80      //Pixel 66: 1.855469e-01
0359A      //Pixel 67: 2.093811e-01
038B2      //Pixel 68: 2.214661e-01
03AB1      //Pixel 69: 2.292633e-01
03CB3      //Pixel 70: 2.371063e-01
03E02      //Pixel 71: 2.422180e-01
03FBA      //Pixel 72: 2.489319e-01
0419F      //Pixel 73: 2.563324e-01
04315      //Pixel 74: 2.620392e-01
044B6      //Pixel 75: 2.684021e-01
0461A      //Pixel 76: 2.738342e-01
04748      //Pixel 77: 2.784424e-01
046D6      //Pixel 78: 2.767029e-01
046DD      //Pixel 79: 2.768097e-01
024E0      //Pixel 80: 1.440430e-01
00FDB      //Pixel 81: 6.193542e-02
03A00      //Pixel 82: 2.265625e-01
04623      //Pixel 83: 2.739716e-01
04598      //Pixel 84: 2.718506e-01
0305C      //Pixel 85: 1.889038e-01
03603      //Pixel 86: 2.109833e-01
03FBA      //Pixel 87: 2.489319e-01
03FD9      //Pixel 88: 2.494049e-01
03D88      //Pixel 89: 2.403564e-01
03B4D      //Pixel 90: 2.316437e-01
03915      //Pixel 91: 2.229767e-01
0369D      //Pixel 92: 2.133331e-01
033E1      //Pixel 93: 2.026520e-01
0315F      //Pixel 94: 1.928558e-01
02E37      //Pixel 95: 1.805267e-01
0270D      //Pixel 96: 1.525421e-01
02A6B      //Pixel 97: 1.656952e-01
03057      //Pixel 98: 1.888275e-01
0353B      //Pixel 99: 2.079315e-01
03857      //Pixel 100: 2.200775e-01
03AFF      //Pixel 101: 2.304535e-01
03CEF      //Pixel 102: 2.380219e-01
03F69      //Pixel 103: 2.476959e-01
04143      //Pixel 104: 2.549286e-01
0421B      //Pixel 105: 2.582245e-01
043D9      //Pixel 106: 2.650299e-01
04541      //Pixel 107: 2.705231e-01
0467C      //Pixel 108: 2.753296e-01
04782      //Pixel 109: 2.793274e-01
047D1      //Pixel 110: 2.805328e-01
04889      //Pixel 111: 2.833405e-01
02636      //Pixel 112: 1.492615e-01
00000      //Pixel 113: 0
01AC6      //Pixel 114: 1.045837e-01
0455D      //Pixel 115: 2.709503e-01
0464F      //Pixel 116: 2.746429e-01
01AEE      //Pixel 117: 1.051941e-01
0001A      //Pixel 118: 3.967285e-04
03611      //Pixel 119: 2.111969e-01
03FA6      //Pixel 120: 2.486267e-01
03D44      //Pixel 121: 2.393188e-01
03B7E      //Pixel 122: 2.323914e-01
03999      //Pixel 123: 2.249908e-01
036CC      //Pixel 124: 2.140503e-01
033EB      //Pixel 125: 2.028046e-01
03141      //Pixel 126: 1.923981e-01
02EF1      //Pixel 127: 1.833649e-01
027B7      //Pixel 128: 1.551361e-01
02A47      //Pixel 129: 1.651459e-01
03006      //Pixel 130: 1.875916e-01
0359A      //Pixel 131: 2.093811e-01
038D7      //Pixel 132: 2.220306e-01
03AFF      //Pixel 133: 2.304535e-01
03D39      //Pixel 134: 2.391510e-01
03F77      //Pixel 135: 2.479095e-01
04143      //Pixel 136: 2.549286e-01
042D8      //Pixel 137: 2.611084e-01
0444F      //Pixel 138: 2.668304e-01
045A2      //Pixel 139: 2.720032e-01
04649      //Pixel 140: 2.745514e-01
047B5      //Pixel 141: 2.801056e-01
0462E      //Pixel 142: 2.741394e-01
04798      //Pixel 143: 2.796631e-01
03427      //Pixel 144: 2.037201e-01
00000      //Pixel 145: 0
01794      //Pixel 146: 9.210205e-02
046AA      //Pixel 147: 2.760315e-01
04628      //Pixel 148: 2.740479e-01
019BE      //Pixel 149: 1.005554e-01
00000      //Pixel 150: 0
02FEA      //Pixel 151: 1.871643e-01
0405F      //Pixel 152: 2.514496e-01
03EC6      //Pixel 153: 2.452087e-01
03C8B      //Pixel 154: 2.364960e-01
03A13      //Pixel 155: 2.268524e-01
0370E      //Pixel 156: 2.150574e-01
0348C      //Pixel 157: 2.052612e-01
031D3      //Pixel 158: 1.946259e-01
02EE8      //Pixel 159: 1.832275e-01
0292F      //Pixel 160: 1.608734e-01
02B35      //Pixel 161: 1.687775e-01
0304C      //Pixel 162: 1.886597e-01
035C8      //Pixel 163: 2.100830e-01
0395A      //Pixel 164: 2.240295e-01
03B31      //Pixel 165: 2.312164e-01
03D78      //Pixel 166: 2.401123e-01
03FC9      //Pixel 167: 2.491608e-01
04160      //Pixel 168: 2.553711e-01
042DB      //Pixel 169: 2.611542e-01
0443F      //Pixel 170: 2.665863e-01
04566      //Pixel 171: 2.710876e-01
0467F      //Pixel 172: 2.753754e-01
045EC      //Pixel 173: 2.731323e-01
01C4F      //Pixel 174: 1.105804e-01
01486      //Pixel 175: 8.016968e-02
0271D      //Pixel 176: 1.527863e-01
00000      //Pixel 177: 0
0116D      //Pixel 178: 6.806946e-02
04685      //Pixel 179: 2.754669e-01
04639      //Pixel 180: 2.743073e-01
0190C      //Pixel 181: 9.783936e-02
00000      //Pixel 182: 0
0298F      //Pixel 183: 1.623383e-01
0415F      //Pixel 184: 2.553558e-01
03F28      //Pixel 185: 2.467041e-01
03CCD      //Pixel 186: 2.375031e-01
03AD7      //Pixel 187: 2.298431e-01
037E3      //Pixel 188: 2.183075e-01
03580      //Pixel 189: 2.089844e-01
031EF      //Pixel 190: 1.950531e-01
02EB1      //Pixel 191: 1.823883e-01
028DB      //Pixel 192: 1.595917e-01
02BB9      //Pixel 193: 1.707916e-01
03203      //Pixel 194: 1.953583e-01
036A2      //Pixel 195: 2.134094e-01
03992      //Pixel 196: 2.248840e-01
03C83      //Pixel 197: 2.363739e-01
03F25      //Pixel 198: 2.466583e-01
040BA      //Pixel 199: 2.528381e-01
041C6      //Pixel 200: 2.569275e-01
042D1      //Pixel 201: 2.610016e-01
04484      //Pixel 202: 2.676392e-01
045FE      //Pixel 203: 2.734070e-01
046CA      //Pixel 204: 2.765198e-01
045D2      //Pixel 205: 2.727356e-01
00D90      //Pixel 206: 5.297852e-02
004F2      //Pixel 207: 1.931763e-02
01ED2      //Pixel 208: 1.203918e-01
003F7      //Pixel 209: 1.548767e-02
008AD      //Pixel 210: 3.388977e-02
041E8      //Pixel 211: 2.574463e-01
045A9      //Pixel 212: 2.721100e-01
01BAD      //Pixel 213: 1.081085e-01
00000      //Pixel 214: 0
0275E      //Pixel 215: 1.537781e-01
0409C      //Pixel 216: 2.523804e-01
03F08      //Pixel 217: 2.462158e-01
03C6B      //Pixel 218: 2.360077e-01
03AAB      //Pixel 219: 2.291718e-01
03878      //Pixel 220: 2.205811e-01
03639      //Pixel 221: 2.118073e-01
033B9      //Pixel 222: 2.020416e-01
02FCF      //Pixel 223: 1.867523e-01
02A70      //Pixel 224: 1.657715e-01
02BAA      //Pixel 225: 1.705627e-01
031F7      //Pixel 226: 1.951752e-01
037A7      //Pixel 227: 2.173920e-01
03A83      //Pixel 228: 2.285614e-01
03CB0      //Pixel 229: 2.370605e-01
03F5A      //Pixel 230: 2.474670e-01
04132      //Pixel 231: 2.546692e-01
042AC      //Pixel 232: 2.604370e-01
04439      //Pixel 233: 2.664948e-01
044D2      //Pixel 234: 2.688293e-01
04626      //Pixel 235: 2.740173e-01
046C3      //Pixel 236: 2.764130e-01
0480F      //Pixel 237: 2.814789e-01
00FBC      //Pixel 238: 6.146240e-02
00369      //Pixel 239: 1.332092e-02
01FE9      //Pixel 240: 1.246490e-01
00B57      //Pixel 241: 4.429626e-02
00000      //Pixel 242: 0
03830      //Pixel 243: 2.194824e-01
045E0      //Pixel 244: 2.729492e-01
01DD0      //Pixel 245: 1.164551e-01
00000      //Pixel 246: 0
0259C      //Pixel 247: 1.469116e-01
0410B      //Pixel 248: 2.540741e-01
03FD3      //Pixel 249: 2.493134e-01
03D4F      //Pixel 250: 2.394867e-01
03B1B      //Pixel 251: 2.308807e-01
0390B      //Pixel 252: 2.228241e-01
036D4      //Pixel 253: 2.141724e-01
03426      //Pixel 254: 2.037048e-01
03152      //Pixel 255: 1.926575e-01
029D6      //Pixel 256: 1.634216e-01
02C42      //Pixel 257: 1.728821e-01
0324B      //Pixel 258: 1.964569e-01
037BF      //Pixel 259: 2.177582e-01
03B0C      //Pixel 260: 2.306519e-01
03D27      //Pixel 261: 2.388763e-01
03F97      //Pixel 262: 2.483978e-01
041C4      //Pixel 263: 2.568970e-01
04317      //Pixel 264: 2.620697e-01
04507      //Pixel 265: 2.696381e-01
046A9      //Pixel 266: 2.760162e-01
04782      //Pixel 267: 2.793274e-01
04830      //Pixel 268: 2.819824e-01
04798      //Pixel 269: 2.796631e-01
015EF      //Pixel 270: 8.567810e-02
00000      //Pixel 271: 0
01A36      //Pixel 272: 1.023865e-01
010B2      //Pixel 273: 6.521606e-02
00000      //Pixel 274: 0
025EA      //Pixel 275: 1.481018e-01
041C5      //Pixel 276: 2.569122e-01
01ACA      //Pixel 277: 1.046448e-01
00000      //Pixel 278: 0
01FB8      //Pixel 279: 1.239014e-01
03FFC      //Pixel 280: 2.499390e-01
03FCD      //Pixel 281: 2.492218e-01
03D8F      //Pixel 282: 2.404633e-01
03BF7      //Pixel 283: 2.342377e-01
03969      //Pixel 284: 2.242584e-01
036A5      //Pixel 285: 2.134552e-01
0340D      //Pixel 286: 2.033234e-01
03153      //Pixel 287: 1.926727e-01
02A36      //Pixel 288: 1.648865e-01
02C56      //Pixel 289: 1.731873e-01
032D6      //Pixel 290: 1.985779e-01
0386A      //Pixel 291: 2.203674e-01
03AFF      //Pixel 292: 2.304535e-01
03D2F      //Pixel 293: 2.389984e-01
03FD3      //Pixel 294: 2.493134e-01
041D3      //Pixel 295: 2.571259e-01
04337      //Pixel 296: 2.625580e-01
04516      //Pixel 297: 2.698669e-01
04669      //Pixel 298: 2.750397e-01
047B1      //Pixel 299: 2.800446e-01
04876      //Pixel 300: 2.830505e-01
047BD      //Pixel 301: 2.802277e-01
02159      //Pixel 302: 1.302643e-01
00000      //Pixel 303: 0
013F1      //Pixel 304: 7.789612e-02
00CB0      //Pixel 305: 4.956055e-02
00000      //Pixel 306: 0
018AF      //Pixel 307: 9.642029e-02
03726      //Pixel 308: 2.154236e-01
01267      //Pixel 309: 7.188416e-02
00000      //Pixel 310: 0
0177C      //Pixel 311: 9.173584e-02
03F7B      //Pixel 312: 2.479706e-01
03F28      //Pixel 313: 2.467041e-01
03D6F      //Pixel 314: 2.399750e-01
03C07      //Pixel 315: 2.344818e-01
0394C      //Pixel 316: 2.238159e-01
03646      //Pixel 317: 2.120056e-01
033DE      //Pixel 318: 2.026062e-01
031B1      //Pixel 319: 1.941071e-01
029E2      //Pixel 320: 1.636047e-01
02CA2      //Pixel 321: 1.743469e-01
0323C      //Pixel 322: 1.962280e-01
037DF      //Pixel 323: 2.182465e-01
03B8B      //Pixel 324: 2.325897e-01
03D12      //Pixel 325: 2.385559e-01
03FC9      //Pixel 326: 2.491608e-01
04200      //Pixel 327: 2.578125e-01
04378      //Pixel 328: 2.635498e-01
04516      //Pixel 329: 2.698669e-01
04671      //Pixel 330: 2.751617e-01
0481F      //Pixel 331: 2.817230e-01
048CD      //Pixel 332: 2.843781e-01
04841      //Pixel 333: 2.822418e-01
02BDC      //Pixel 334: 1.713257e-01
00000      //Pixel 335: 0
01561      //Pixel 336: 8.351135e-02
00CC3      //Pixel 337: 4.985046e-02
00000      //Pixel 338: 0
012F0      //Pixel 339: 7.397461e-02
02A67      //Pixel 340: 1.656342e-01
01017      //Pixel 341: 6.285095e-02
00000      //Pixel 342: 0
018A4      //Pixel 343: 9.625244e-02
03D9E      //Pixel 344: 2.406921e-01
03E45      //Pixel 345: 2.432404e-01
03D27      //Pixel 346: 2.388763e-01
03B63      //Pixel 347: 2.319794e-01
03921      //Pixel 348: 2.231598e-01
03658      //Pixel 349: 2.122803e-01
0346B      //Pixel 350: 2.047577e-01
03261      //Pixel 351: 1.967926e-01
029E2      //Pixel 352: 1.636047e-01
02CCF      //Pixel 353: 1.750336e-01
0322E      //Pixel 354: 1.960144e-01
03761      //Pixel 355: 2.163239e-01
03AF0      //Pixel 356: 2.302246e-01
03D56      //Pixel 357: 2.395935e-01
04020      //Pixel 358: 2.504883e-01
041C2      //Pixel 359: 2.568665e-01
0438D      //Pixel 360: 2.638702e-01
04516      //Pixel 361: 2.698669e-01
04647      //Pixel 362: 2.745209e-01
0298C      //Pixel 363: 1.622925e-01
0316B      //Pixel 364: 1.930389e-01
04834      //Pixel 365: 2.820435e-01
0379B      //Pixel 366: 2.172089e-01
00000      //Pixel 367: 0
01314      //Pixel 368: 7.452393e-02
0088C      //Pixel 369: 3.338623e-02
00000      //Pixel 370: 0
010B9      //Pixel 371: 6.532288e-02
0276A      //Pixel 372: 1.539612e-01
00B21      //Pixel 373: 4.347229e-02
00000      //Pixel 374: 0
02174      //Pixel 375: 1.306763e-01
03DF7      //Pixel 376: 2.420502e-01
03E10      //Pixel 377: 2.424316e-01
03DA6      //Pixel 378: 2.408142e-01
03BCD      //Pixel 379: 2.335968e-01
038FF      //Pixel 380: 2.226410e-01
03639      //Pixel 381: 2.118073e-01
033A3      //Pixel 382: 2.017059e-01
031C4      //Pixel 383: 1.943970e-01
029E2      //Pixel 384: 1.636047e-01
02CA8      //Pixel 385: 1.744385e-01
032C8      //Pixel 386: 1.983643e-01
03750      //Pixel 387: 2.160645e-01
03AAC      //Pixel 388: 2.291870e-01
03CDA      //Pixel 389: 2.377014e-01
03F16      //Pixel 390: 2.464294e-01
04139      //Pixel 391: 2.547760e-01
0430A      //Pixel 392: 2.618713e-01
044DA      //Pixel 393: 2.689514e-01
04552      //Pixel 394: 2.707825e-01
0180A      //Pixel 395: 9.390259e-02
014E9      //Pixel 396: 8.168030e-02
04626      //Pixel 397: 2.740173e-01
03DD2      //Pixel 398: 2.414856e-01
004D9      //Pixel 399: 1.893616e-02
0048F      //Pixel 400: 1.780701e-02
00113      //Pixel 401: 4.196167e-03
00000      //Pixel 402: 0
00B74      //Pixel 403: 4.473877e-02
02521      //Pixel 404: 1.450348e-01
006B7      //Pixel 405: 2.622986e-02
00000      //Pixel 406: 0
026BD      //Pixel 407: 1.513214e-01
03E75      //Pixel 408: 2.439728e-01
03E23      //Pixel 409: 2.427216e-01
03D6F      //Pixel 410: 2.399750e-01
03BA8      //Pixel 411: 2.330322e-01
038C4      //Pixel 412: 2.217407e-01
03672      //Pixel 413: 2.126770e-01
03330      //Pixel 414: 1.999512e-01
03045      //Pixel 415: 1.885529e-01
028E4      //Pixel 416: 1.597290e-01
02C2E      //Pixel 417: 1.725769e-01
03243      //Pixel 418: 1.963348e-01
036A5      //Pixel 419: 2.134552e-01
03988      //Pixel 420: 2.247314e-01
03C42      //Pixel 421: 2.353821e-01
03EE7      //Pixel 422: 2.457123e-01
040AB      //Pixel 423: 2.526093e-01
042B8      //Pixel 424: 2.606201e-01
044AB      //Pixel 425: 2.682343e-01
04512      //Pixel 426: 2.698059e-01
01343      //Pixel 427: 7.524109e-02
00000      //Pixel 428: 0
03BDC      //Pixel 429: 2.338257e-01
0473F      //Pixel 430: 2.783051e-01
00AC3      //Pixel 431: 4.203796e-02
00000      //Pixel 432: 0
00599      //Pixel 433: 2.186584e-02
00000      //Pixel 434: 0
00000      //Pixel 435: 0
018ED      //Pixel 436: 9.736633e-02
00000      //Pixel 437: 0
00000      //Pixel 438: 0
02947      //Pixel 439: 1.612396e-01
03D99      //Pixel 440: 2.406158e-01
03DC2      //Pixel 441: 2.412415e-01
03CA2      //Pixel 442: 2.368469e-01
03A0C      //Pixel 443: 2.267456e-01
03779      //Pixel 444: 2.166901e-01
03562      //Pixel 445: 2.085266e-01
032D1      //Pixel 446: 1.985016e-01
03011      //Pixel 447: 1.877594e-01
02802      //Pixel 448: 1.562805e-01
02B23      //Pixel 449: 1.685028e-01
03166      //Pixel 450: 1.929626e-01
0365B      //Pixel 451: 2.123260e-01
038FC      //Pixel 452: 2.225952e-01
03B63      //Pixel 453: 2.319794e-01
03D80      //Pixel 454: 2.402344e-01
03F48      //Pixel 455: 2.471924e-01
04174      //Pixel 456: 2.556763e-01
04373      //Pixel 457: 2.634735e-01
043A9      //Pixel 458: 2.642975e-01
020FE      //Pixel 459: 1.288757e-01
00000      //Pixel 460: 0
02624      //Pixel 461: 1.489868e-01
0474B      //Pixel 462: 2.784882e-01
00ED6      //Pixel 463: 5.795288e-02
00000      //Pixel 464: 0
002C0      //Pixel 465: 1.074219e-02
00000      //Pixel 466: 0
00000      //Pixel 467: 0
00000      //Pixel 468: 0
00000      //Pixel 469: 0
00000      //Pixel 470: 0
02962      //Pixel 471: 1.616516e-01
03C8D      //Pixel 472: 2.365265e-01
03D56      //Pixel 473: 2.395935e-01
03C22      //Pixel 474: 2.348938e-01
03996      //Pixel 475: 2.249451e-01
036A2      //Pixel 476: 2.134094e-01
033F7      //Pixel 477: 2.029877e-01
031A8      //Pixel 478: 1.939697e-01
02E3D      //Pixel 479: 1.806183e-01
02754      //Pixel 480: 1.536255e-01
02AB1      //Pixel 481: 1.667633e-01
030B4      //Pixel 482: 1.902466e-01
0358A      //Pixel 483: 2.091370e-01
037FF      //Pixel 484: 2.187347e-01
03AAB      //Pixel 485: 2.291718e-01
03D0F      //Pixel 486: 2.385101e-01
03E6C      //Pixel 487: 2.438354e-01
03FB7      //Pixel 488: 2.488861e-01
041F6      //Pixel 489: 2.576599e-01
0444A      //Pixel 490: 2.667542e-01
031D0      //Pixel 491: 1.945801e-01
00000      //Pixel 492: 0
01BE2      //Pixel 493: 1.089172e-01
03AB6      //Pixel 494: 2.293396e-01
011DF      //Pixel 495: 6.980896e-02
00000      //Pixel 496: 0
00000      //Pixel 497: 0
00000      //Pixel 498: 0
00000      //Pixel 499: 0
00000      //Pixel 500: 0
00000      //Pixel 501: 0
00000      //Pixel 502: 0
0264E      //Pixel 503: 1.496277e-01
03C3F      //Pixel 504: 2.353363e-01
03BB4      //Pixel 505: 2.332153e-01
03A92      //Pixel 506: 2.287903e-01
0386B      //Pixel 507: 2.203827e-01
035DE      //Pixel 508: 2.104187e-01
0330F      //Pixel 509: 1.994476e-01
03062      //Pixel 510: 1.889954e-01
02D83      //Pixel 511: 1.777802e-01
0266F      //Pixel 512: 1.501312e-01
029DC      //Pixel 513: 1.635132e-01
03002      //Pixel 514: 1.875305e-01
034FC      //Pixel 515: 2.069702e-01
0381C      //Pixel 516: 2.191772e-01
03AA1      //Pixel 517: 2.290192e-01
03CF7      //Pixel 518: 2.381439e-01
03E62      //Pixel 519: 2.436829e-01
0401B      //Pixel 520: 2.504120e-01
041C9      //Pixel 521: 2.569733e-01
0434C      //Pixel 522: 2.628784e-01
04AA1      //Pixel 523: 2.915192e-01
00000      //Pixel 524: 0
00000      //Pixel 525: 0
030B4      //Pixel 526: 1.902466e-01
021FA      //Pixel 527: 1.327209e-01
00000      //Pixel 528: 0
00000      //Pixel 529: 0
00000      //Pixel 530: 0
00000      //Pixel 531: 0
00000      //Pixel 532: 0
00000      //Pixel 533: 0
00000      //Pixel 534: 0
021C3      //Pixel 535: 1.318817e-01
03AE4      //Pixel 536: 2.300415e-01
03A37      //Pixel 537: 2.274017e-01
0397B      //Pixel 538: 2.245331e-01
037A8      //Pixel 539: 2.174072e-01
0350F      //Pixel 540: 2.072601e-01
031FD      //Pixel 541: 1.952667e-01
02F2F      //Pixel 542: 1.843109e-01
02CDF      //Pixel 543: 1.752777e-01
02592      //Pixel 544: 1.467590e-01
02863      //Pixel 545: 1.577606e-01
02EC7      //Pixel 546: 1.827240e-01
03432      //Pixel 547: 2.038879e-01
03701      //Pixel 548: 2.148590e-01
039A0      //Pixel 549: 2.250977e-01
03B86      //Pixel 550: 2.325134e-01
03DB2      //Pixel 551: 2.409973e-01
03F0A      //Pixel 552: 2.462463e-01
04117      //Pixel 553: 2.542572e-01
041B5      //Pixel 554: 2.566681e-01
04627      //Pixel 555: 2.740326e-01
000DA      //Pixel 556: 3.326416e-03
00000      //Pixel 557: 0
01F18      //Pixel 558: 1.214600e-01
02039      //Pixel 559: 1.258698e-01
00000      //Pixel 560: 0
00000      //Pixel 561: 0
00000      //Pixel 562: 0
00000      //Pixel 563: 0
00000      //Pixel 564: 0
00000      //Pixel 565: 0
00000      //Pixel 566: 0
01BA0      //Pixel 567: 1.079102e-01
039A8      //Pixel 568: 2.252197e-01
039EB      //Pixel 569: 2.262421e-01
03871      //Pixel 570: 2.204742e-01
03692      //Pixel 571: 2.131653e-01
03499      //Pixel 572: 2.054596e-01
031DB      //Pixel 573: 1.947479e-01
02EC4      //Pixel 574: 1.826782e-01
02BCD      //Pixel 575: 1.710968e-01
02442      //Pixel 576: 1.416321e-01
027B2      //Pixel 577: 1.550598e-01
02D79      //Pixel 578: 1.776276e-01
03196      //Pixel 579: 1.936951e-01
03531      //Pixel 580: 2.077789e-01
03867      //Pixel 581: 2.203217e-01
03AA9      //Pixel 582: 2.291412e-01
03B88      //Pixel 583: 2.325439e-01
03DB3      //Pixel 584: 2.410126e-01
03FDA      //Pixel 585: 2.494202e-01
03F9E      //Pixel 586: 2.485046e-01
044F0      //Pixel 587: 2.692871e-01
03A33      //Pixel 588: 2.273407e-01
00000      //Pixel 589: 0
00000      //Pixel 590: 0
00000      //Pixel 591: 0
00000      //Pixel 592: 0
00000      //Pixel 593: 0
00000      //Pixel 594: 0
00000      //Pixel 595: 0
00000      //Pixel 596: 0
00000      //Pixel 597: 0
00000      //Pixel 598: 0
00E8D      //Pixel 599: 5.683899e-02
037AA      //Pixel 600: 2.174377e-01
0384D      //Pixel 601: 2.199249e-01
037B9      //Pixel 602: 2.176666e-01
035B8      //Pixel 603: 2.098389e-01
03371      //Pixel 604: 2.009430e-01
031F4      //Pixel 605: 1.951294e-01
02EE1      //Pixel 606: 1.831207e-01
02A4F      //Pixel 607: 1.652679e-01
02309      //Pixel 608: 1.368561e-01
0260E      //Pixel 609: 1.486511e-01
02C59      //Pixel 610: 1.732330e-01
03091      //Pixel 611: 1.897125e-01
033B8      //Pixel 612: 2.020264e-01
0360D      //Pixel 613: 2.111359e-01
0390E      //Pixel 614: 2.228699e-01
03B83      //Pixel 615: 2.324677e-01
03CA5      //Pixel 616: 2.368927e-01
03E09      //Pixel 617: 2.423248e-01
03E4E      //Pixel 618: 2.433777e-01
03E08      //Pixel 619: 2.423096e-01
04693      //Pixel 620: 2.756805e-01
00000      //Pixel 621: 0
00000      //Pixel 622: 0
00000      //Pixel 623: 0
00000      //Pixel 624: 0
00000      //Pixel 625: 0
00000      //Pixel 626: 0
00000      //Pixel 627: 0
00000      //Pixel 628: 0
00000      //Pixel 629: 0
00000      //Pixel 630: 0
0093D      //Pixel 631: 3.608704e-02
0360C      //Pixel 632: 2.111206e-01
0361F      //Pixel 633: 2.114105e-01
03570      //Pixel 634: 2.087402e-01
0348D      //Pixel 635: 2.052765e-01
0325C      //Pixel 636: 1.967163e-01
02F4D      //Pixel 637: 1.847687e-01
02BBD      //Pixel 638: 1.708527e-01
02899      //Pixel 639: 1.585846e-01
02180      //Pixel 640: 1.308594e-01
02489      //Pixel 641: 1.427155e-01
02A0C      //Pixel 642: 1.642456e-01
02EBE      //Pixel 643: 1.825867e-01
031BC      //Pixel 644: 1.942749e-01
034C0      //Pixel 645: 2.060547e-01
03794      //Pixel 646: 2.171021e-01
03988      //Pixel 647: 2.247314e-01
03BAE      //Pixel 648: 2.331238e-01
03D45      //Pixel 649: 2.393341e-01
03D26      //Pixel 650: 2.388611e-01
03BB8      //Pixel 651: 2.332764e-01
03EC2      //Pixel 652: 2.451477e-01
01D6F      //Pixel 653: 1.149750e-01
00000      //Pixel 654: 0
00000      //Pixel 655: 0
00000      //Pixel 656: 0
00000      //Pixel 657: 0
00000      //Pixel 658: 0
00000      //Pixel 659: 0
00000      //Pixel 660: 0
00000      //Pixel 661: 0
00000      //Pixel 662: 0
00000      //Pixel 663: 0
02FAA      //Pixel 664: 1.861877e-01
03482      //Pixel 665: 2.051086e-01
0343E      //Pixel 666: 2.040710e-01
0325C      //Pixel 667: 1.967163e-01
03023      //Pixel 668: 1.880341e-01
02DBC      //Pixel 669: 1.786499e-01
02AC8      //Pixel 670: 1.671143e-01
0276B      //Pixel 671: 1.539764e-01
02006      //Pixel 672: 1.250916e-01
0235A      //Pixel 673: 1.380920e-01
028FA      //Pixel 674: 1.600647e-01
02CEF      //Pixel 675: 1.755219e-01
030C2      //Pixel 676: 1.904602e-01
033B3      //Pixel 677: 2.019501e-01
035FB      //Pixel 678: 2.108612e-01
037A3      //Pixel 679: 2.173309e-01
0394C      //Pixel 680: 2.238159e-01
03AE9      //Pixel 681: 2.301178e-01
03C07      //Pixel 682: 2.344818e-01
03AD7      //Pixel 683: 2.298431e-01
03971      //Pixel 684: 2.243805e-01
0370F      //Pixel 685: 2.150726e-01
00000      //Pixel 686: 0
00000      //Pixel 687: 0
00000      //Pixel 688: 0
00000      //Pixel 689: 0
00000      //Pixel 690: 0
00000      //Pixel 691: 0
00000      //Pixel 692: 0
00000      //Pixel 693: 0
00000      //Pixel 694: 0
00000      //Pixel 695: 0
02444      //Pixel 696: 1.416626e-01
0338C      //Pixel 697: 2.013550e-01
03246      //Pixel 698: 1.963806e-01
