0C7C7      //Pixel 0: 7.803802e-01
0F4F4      //Pixel 92: 9.568481e-01
0F4F4      //Pixel 93: 9.568481e-01
0F5F5      //Pixel 94: 9.607697e-01
0F5F5      //Pixel 95: 9.607697e-01
0F5F5      //Pixel 96: 9.607697e-01
0F5F5      //Pixel 97: 9.607697e-01
0F4F4      //Pixel 98: 9.568481e-01
0F4F4      //Pixel 99: 9.568481e-01
0F4F4      //Pixel 100: 9.568481e-01
0F4F4      //Pixel 101: 9.568481e-01
0F3F3      //Pixel 102: 9.529266e-01
0F3F3      //Pixel 103: 9.529266e-01
0F1F1      //Pixel 104: 9.450836e-01
0F0F0      //Pixel 105: 9.411621e-01
0F0F0      //Pixel 106: 9.411621e-01
0EFEF      //Pixel 107: 9.372406e-01
0EFEF      //Pixel 108: 9.372406e-01
0EEEE      //Pixel 109: 9.333191e-01
0ECEC      //Pixel 110: 9.254761e-01
0ECEC      //Pixel 111: 9.254761e-01
0EBEB      //Pixel 112: 9.215546e-01
0EAEA      //Pixel 113: 9.176331e-01
0EAEA      //Pixel 114: 9.176331e-01
0E8E8      //Pixel 115: 9.097900e-01
0E6E6      //Pixel 116: 9.019470e-01
0E5E5      //Pixel 117: 8.980255e-01
0E4E4      //Pixel 118: 8.941040e-01
0E3E3      //Pixel 119: 8.901825e-01
0E2E2      //Pixel 120: 8.862610e-01
0E0E0      //Pixel 121: 8.784180e-01
0DFDF      //Pixel 122: 8.744965e-01
0DEDE      //Pixel 123: 8.705750e-01
0DBDB      //Pixel 124: 8.588104e-01
0DADA      //Pixel 125: 8.548889e-01
0D8D8      //Pixel 126: 8.470459e-01
0D6D6      //Pixel 127: 8.392029e-01
0CBCB      //Pixel 128: 7.960663e-01
0CFCF      //Pixel 129: 8.117523e-01
0D0D0      //Pixel 130: 8.156738e-01
0D2D2      //Pixel 131: 8.235168e-01
0D4D4      //Pixel 132: 8.313599e-01
0DCDC      //Pixel 133: 8.627319e-01
0E1E1      //Pixel 134: 8.823395e-01
0E1E1      //Pixel 135: 8.823395e-01
0E3E3      //Pixel 136: 8.901825e-01
0E4E4      //Pixel 137: 8.941040e-01
0E5E5      //Pixel 138: 8.980255e-01
0E7E7      //Pixel 139: 9.058685e-01
0E8E8      //Pixel 140: 9.097900e-01
0E9E9      //Pixel 141: 9.137115e-01
0EBEB      //Pixel 142: 9.215546e-01
0EBEB      //Pixel 143: 9.215546e-01
0ECEC      //Pixel 144: 9.254761e-01
0EDED      //Pixel 145: 9.293976e-01
0EDED      //Pixel 146: 9.293976e-01
0EFEF      //Pixel 147: 9.372406e-01
0F0F0      //Pixel 148: 9.411621e-01
0F0F0      //Pixel 149: 9.411621e-01
0F1F1      //Pixel 150: 9.450836e-01
0F1F1      //Pixel 151: 9.450836e-01
0F2F2      //Pixel 152: 9.490051e-01
0F3F3      //Pixel 153: 9.529266e-01
0F4F4      //Pixel 154: 9.568481e-01
0F4F4      //Pixel 155: 9.568481e-01
0F4F4      //Pixel 156: 9.568481e-01
0F4F4      //Pixel 157: 9.568481e-01
0F5F5      //Pixel 158: 9.607697e-01
0F6F6      //Pixel 159: 9.646912e-01
0F5F5      //Pixel 160: 9.607697e-01
0F6F6      //Pixel 161: 9.646912e-01
0F5F5      //Pixel 162: 9.607697e-01
0F5F5      //Pixel 163: 9.607697e-01
0F5F5      //Pixel 164: 9.607697e-01
0F5F5      //Pixel 165: 9.607697e-01
0F3F3      //Pixel 166: 9.529266e-01
0F2F2      //Pixel 167: 9.490051e-01
0F2F2      //Pixel 168: 9.490051e-01
0F0F0      //Pixel 169: 9.411621e-01
0EFEF      //Pixel 170: 9.372406e-01
0EEEE      //Pixel 171: 9.333191e-01
0EFEF      //Pixel 172: 9.372406e-01
0EEEE      //Pixel 173: 9.333191e-01
0ECEC      //Pixel 174: 9.254761e-01
0ECEC      //Pixel 175: 9.254761e-01
0ECEC      //Pixel 176: 9.254761e-01
0EBEB      //Pixel 177: 9.215546e-01
0EAEA      //Pixel 178: 9.176331e-01
0E8E8      //Pixel 179: 9.097900e-01
0E7E7      //Pixel 180: 9.058685e-01
0E6E6      //Pixel 181: 9.019470e-01
0E5E5      //Pixel 182: 8.980255e-01
0E3E3      //Pixel 183: 8.901825e-01
0E2E2      //Pixel 184: 8.862610e-01
0E0E0      //Pixel 185: 8.784180e-01
0DFDF      //Pixel 186: 8.744965e-01
0DDDD      //Pixel 187: 8.666534e-01
0DCDC      //Pixel 188: 8.627319e-01
0DADA      //Pixel 189: 8.548889e-01
0D8D8      //Pixel 190: 8.470459e-01
0D6D6      //Pixel 191: 8.392029e-01
0CECE      //Pixel 192: 8.078308e-01
0D0D0      //Pixel 193: 8.156738e-01
0D0D0      //Pixel 194: 8.156738e-01
0D3D3      //Pixel 195: 8.274384e-01
0D5D5      //Pixel 196: 8.352814e-01
0DCDC      //Pixel 197: 8.627319e-01
0E0E0      //Pixel 198: 8.784180e-01
0E1E1      //Pixel 199: 8.823395e-01
0E3E3      //Pixel 200: 8.901825e-01
0E4E4      //Pixel 201: 8.941040e-01
0E5E5      //Pixel 202: 8.980255e-01
0E7E7      //Pixel 203: 9.058685e-01
0E8E8      //Pixel 204: 9.097900e-01
0E9E9      //Pixel 205: 9.137115e-01
0EAEA      //Pixel 206: 9.176331e-01
0EBEB      //Pixel 207: 9.215546e-01
0ECEC      //Pixel 208: 9.254761e-01
0EDED      //Pixel 209: 9.293976e-01
0EDED      //Pixel 210: 9.293976e-01
0EFEF      //Pixel 211: 9.372406e-01
0F0F0      //Pixel 212: 9.411621e-01
0F1F1      //Pixel 213: 9.450836e-01
0F1F1      //Pixel 214: 9.450836e-01
0F3F3      //Pixel 215: 9.529266e-01
0F4F4      //Pixel 216: 9.568481e-01
0F4F4      //Pixel 217: 9.568481e-01
0F4F4      //Pixel 218: 9.568481e-01
0F4F4      //Pixel 219: 9.568481e-01
0F5F5      //Pixel 220: 9.607697e-01
0F5F5      //Pixel 221: 9.607697e-01
0F6F6      //Pixel 222: 9.646912e-01
0F6F6      //Pixel 223: 9.646912e-01
0F6F6      //Pixel 224: 9.646912e-01
0F6F6      //Pixel 225: 9.646912e-01
0F4F4      //Pixel 226: 9.568481e-01
0F6F6      //Pixel 227: 9.646912e-01
0F5F5      //Pixel 228: 9.607697e-01
0F4F4      //Pixel 229: 9.568481e-01
0F4F4      //Pixel 230: 9.568481e-01
0F3F3      //Pixel 231: 9.529266e-01
0F2F2      //Pixel 232: 9.490051e-01
0F1F1      //Pixel 233: 9.450836e-01
0F1F1      //Pixel 234: 9.450836e-01
0F0F0      //Pixel 235: 9.411621e-01
0EEEE      //Pixel 236: 9.333191e-01
0EEEE      //Pixel 237: 9.333191e-01
0EDED      //Pixel 238: 9.293976e-01
0EDED      //Pixel 239: 9.293976e-01
0ECEC      //Pixel 240: 9.254761e-01
0EAEA      //Pixel 241: 9.176331e-01
0E9E9      //Pixel 242: 9.137115e-01
0E8E8      //Pixel 243: 9.097900e-01
0E7E7      //Pixel 244: 9.058685e-01
0E7E7      //Pixel 245: 9.058685e-01
0E5E5      //Pixel 246: 8.980255e-01
0E3E3      //Pixel 247: 8.901825e-01
0E2E2      //Pixel 248: 8.862610e-01
0E1E1      //Pixel 249: 8.823395e-01
0DFDF      //Pixel 250: 8.744965e-01
0DEDE      //Pixel 251: 8.705750e-01
0DCDC      //Pixel 252: 8.627319e-01
0DADA      //Pixel 253: 8.548889e-01
0D8D8      //Pixel 254: 8.470459e-01
0D7D7      //Pixel 255: 8.431244e-01
0CECE      //Pixel 256: 8.078308e-01
0D0D0      //Pixel 257: 8.156738e-01
0D2D2      //Pixel 258: 8.235168e-01
0D3D3      //Pixel 259: 8.274384e-01
0D6D6      //Pixel 260: 8.392029e-01
0DCDC      //Pixel 261: 8.627319e-01
0E0E0      //Pixel 262: 8.784180e-01
0E1E1      //Pixel 263: 8.823395e-01
0E3E3      //Pixel 264: 8.901825e-01
0E4E4      //Pixel 265: 8.941040e-01
0E6E6      //Pixel 266: 9.019470e-01
0E7E7      //Pixel 267: 9.058685e-01
0E8E8      //Pixel 268: 9.097900e-01
0E9E9      //Pixel 269: 9.137115e-01
0EBEB      //Pixel 270: 9.215546e-01
0EBEB      //Pixel 271: 9.215546e-01
0ECEC      //Pixel 272: 9.254761e-01
0EDED      //Pixel 273: 9.293976e-01
0EDED      //Pixel 274: 9.293976e-01
0EFEF      //Pixel 275: 9.372406e-01
0F0F0      //Pixel 276: 9.411621e-01
0F0F0      //Pixel 277: 9.411621e-01
0F1F1      //Pixel 278: 9.450836e-01
0F3F3      //Pixel 279: 9.529266e-01
0F4F4      //Pixel 280: 9.568481e-01
0F5F5      //Pixel 281: 9.607697e-01
0F5F5      //Pixel 282: 9.607697e-01
0F5F5      //Pixel 283: 9.607697e-01
0F5F5      //Pixel 284: 9.607697e-01
0F5F5      //Pixel 285: 9.607697e-01
0F6F6      //Pixel 286: 9.646912e-01
0F5F5      //Pixel 287: 9.607697e-01
0F6F6      //Pixel 288: 9.646912e-01
0E2E2      //Pixel 289: 8.862610e-01
0B2B2      //Pixel 290: 6.980286e-01
0C0C0      //Pixel 291: 7.529297e-01
0F0F0      //Pixel 292: 9.411621e-01
0F5F5      //Pixel 293: 9.607697e-01
0F4F4      //Pixel 294: 9.568481e-01
0F3F3      //Pixel 295: 9.529266e-01
0F3F3      //Pixel 296: 9.529266e-01
0F2F2      //Pixel 297: 9.490051e-01
0F1F1      //Pixel 298: 9.450836e-01
0EFEF      //Pixel 299: 9.372406e-01
0ECEC      //Pixel 300: 9.254761e-01
0EEEE      //Pixel 301: 9.333191e-01
0EEEE      //Pixel 302: 9.333191e-01
0ECEC      //Pixel 303: 9.254761e-01
0ECEC      //Pixel 304: 9.254761e-01
0EBEB      //Pixel 305: 9.215546e-01
0EAEA      //Pixel 306: 9.176331e-01
0E9E9      //Pixel 307: 9.137115e-01
0E7E7      //Pixel 308: 9.058685e-01
0E6E6      //Pixel 309: 9.019470e-01
0E4E4      //Pixel 310: 8.941040e-01
0E3E3      //Pixel 311: 8.901825e-01
0E2E2      //Pixel 312: 8.862610e-01
0E1E1      //Pixel 313: 8.823395e-01
0DFDF      //Pixel 314: 8.744965e-01
0DEDE      //Pixel 315: 8.705750e-01
0DCDC      //Pixel 316: 8.627319e-01
0DADA      //Pixel 317: 8.548889e-01
0D8D8      //Pixel 318: 8.470459e-01
0D7D7      //Pixel 319: 8.431244e-01
0CECE      //Pixel 320: 8.078308e-01
0D0D0      //Pixel 321: 8.156738e-01
0D2D2      //Pixel 322: 8.235168e-01
0D4D4      //Pixel 323: 8.313599e-01
0D6D6      //Pixel 324: 8.392029e-01
0DDDD      //Pixel 325: 8.666534e-01
0E0E0      //Pixel 326: 8.784180e-01
0E1E1      //Pixel 327: 8.823395e-01
0E4E4      //Pixel 328: 8.941040e-01
0E5E5      //Pixel 329: 8.980255e-01
0E6E6      //Pixel 330: 9.019470e-01
0E7E7      //Pixel 331: 9.058685e-01
0E9E9      //Pixel 332: 9.137115e-01
0E9E9      //Pixel 333: 9.137115e-01
0EBEB      //Pixel 334: 9.215546e-01
0ECEC      //Pixel 335: 9.254761e-01
0ECEC      //Pixel 336: 9.254761e-01
0EDED      //Pixel 337: 9.293976e-01
0EEEE      //Pixel 338: 9.333191e-01
0EFEF      //Pixel 339: 9.372406e-01
0F0F0      //Pixel 340: 9.411621e-01
0F1F1      //Pixel 341: 9.450836e-01
0F2F2      //Pixel 342: 9.490051e-01
0F3F3      //Pixel 343: 9.529266e-01
0F4F4      //Pixel 344: 9.568481e-01
0F6F6      //Pixel 345: 9.646912e-01
0F5F5      //Pixel 346: 9.607697e-01
0F5F5      //Pixel 347: 9.607697e-01
0F6F6      //Pixel 348: 9.646912e-01
0F5F5      //Pixel 349: 9.607697e-01
0F5F5      //Pixel 350: 9.607697e-01
0F6F6      //Pixel 351: 9.646912e-01
0F2F2      //Pixel 352: 9.490051e-01
09F9F      //Pixel 353: 6.235199e-01
08383      //Pixel 354: 5.137177e-01
08383      //Pixel 355: 5.137177e-01
0C9C9      //Pixel 356: 7.882233e-01
0F5F5      //Pixel 357: 9.607697e-01
0F4F4      //Pixel 358: 9.568481e-01
0F4F4      //Pixel 359: 9.568481e-01
0F3F3      //Pixel 360: 9.529266e-01
0F3F3      //Pixel 361: 9.529266e-01
0EDED      //Pixel 362: 9.293976e-01
0BBBB      //Pixel 363: 7.333221e-01
0A3A3      //Pixel 364: 6.392059e-01
0D0D0      //Pixel 365: 8.156738e-01
0EEEE      //Pixel 366: 9.333191e-01
0EEEE      //Pixel 367: 9.333191e-01
0EDED      //Pixel 368: 9.293976e-01
0ECEC      //Pixel 369: 9.254761e-01
0EAEA      //Pixel 370: 9.176331e-01
0E9E9      //Pixel 371: 9.137115e-01
0E8E8      //Pixel 372: 9.097900e-01
0E7E7      //Pixel 373: 9.058685e-01
0E5E5      //Pixel 374: 8.980255e-01
0E4E4      //Pixel 375: 8.941040e-01
0E2E2      //Pixel 376: 8.862610e-01
0E1E1      //Pixel 377: 8.823395e-01
0DFDF      //Pixel 378: 8.744965e-01
0DEDE      //Pixel 379: 8.705750e-01
0DCDC      //Pixel 380: 8.627319e-01
0DBDB      //Pixel 381: 8.588104e-01
0D9D9      //Pixel 382: 8.509674e-01
0D7D7      //Pixel 383: 8.431244e-01
0CFCF      //Pixel 384: 8.117523e-01
0D0D0      //Pixel 385: 8.156738e-01
0D2D2      //Pixel 386: 8.235168e-01
0D4D4      //Pixel 387: 8.313599e-01
0D7D7      //Pixel 388: 8.431244e-01
0DEDE      //Pixel 389: 8.705750e-01
0E0E0      //Pixel 390: 8.784180e-01
0E1E1      //Pixel 391: 8.823395e-01
0E3E3      //Pixel 392: 8.901825e-01
0E4E4      //Pixel 393: 8.941040e-01
0E7E7      //Pixel 394: 9.058685e-01
0E8E8      //Pixel 395: 9.097900e-01
0E9E9      //Pixel 396: 9.137115e-01
0E9E9      //Pixel 397: 9.137115e-01
0EBEB      //Pixel 398: 9.215546e-01
0ECEC      //Pixel 399: 9.254761e-01
0ECEC      //Pixel 400: 9.254761e-01
0EEEE      //Pixel 401: 9.333191e-01
0EFEF      //Pixel 402: 9.372406e-01
0F0F0      //Pixel 403: 9.411621e-01
0F1F1      //Pixel 404: 9.450836e-01
0F3F3      //Pixel 405: 9.529266e-01
0F3F3      //Pixel 406: 9.529266e-01
0F4F4      //Pixel 407: 9.568481e-01
0F4F4      //Pixel 408: 9.568481e-01
0F6F6      //Pixel 409: 9.646912e-01
0F5F5      //Pixel 410: 9.607697e-01
0F6F6      //Pixel 411: 9.646912e-01
0F5F5      //Pixel 412: 9.607697e-01
0F5F5      //Pixel 413: 9.607697e-01
0F6F6      //Pixel 414: 9.646912e-01
0F6F6      //Pixel 415: 9.646912e-01
0E9E9      //Pixel 416: 9.137115e-01
07E7E      //Pixel 417: 4.941101e-01
07D7D      //Pixel 418: 4.901886e-01
07A7A      //Pixel 419: 4.784241e-01
0A1A1      //Pixel 420: 6.313629e-01
0F0F0      //Pixel 421: 9.411621e-01
0F4F4      //Pixel 422: 9.568481e-01
0F4F4      //Pixel 423: 9.568481e-01
0F4F4      //Pixel 424: 9.568481e-01
0F4F4      //Pixel 425: 9.568481e-01
0D0D0      //Pixel 426: 8.156738e-01
07F7F      //Pixel 427: 4.980316e-01
07C7C      //Pixel 428: 4.862671e-01
09191      //Pixel 429: 5.686188e-01
0E4E4      //Pixel 430: 8.941040e-01
0EDED      //Pixel 431: 9.293976e-01
0ECEC      //Pixel 432: 9.254761e-01
0ECEC      //Pixel 433: 9.254761e-01
0EAEA      //Pixel 434: 9.176331e-01
0E9E9      //Pixel 435: 9.137115e-01
0E8E8      //Pixel 436: 9.097900e-01
0E7E7      //Pixel 437: 9.058685e-01
0E6E6      //Pixel 438: 9.019470e-01
0E4E4      //Pixel 439: 8.941040e-01
0E2E2      //Pixel 440: 8.862610e-01
0E1E1      //Pixel 441: 8.823395e-01
0DFDF      //Pixel 442: 8.744965e-01
0DDDD      //Pixel 443: 8.666534e-01
0DCDC      //Pixel 444: 8.627319e-01
0DBDB      //Pixel 445: 8.588104e-01
0DADA      //Pixel 446: 8.548889e-01
0D7D7      //Pixel 447: 8.431244e-01
0CFCF      //Pixel 448: 8.117523e-01
0D2D2      //Pixel 449: 8.235168e-01
0D3D3      //Pixel 450: 8.274384e-01
0D4D4      //Pixel 451: 8.313599e-01
0D7D7      //Pixel 452: 8.431244e-01
0DDDD      //Pixel 453: 8.666534e-01
0E0E0      //Pixel 454: 8.784180e-01
0E1E1      //Pixel 455: 8.823395e-01
0E3E3      //Pixel 456: 8.901825e-01
0E4E4      //Pixel 457: 8.941040e-01
0E7E7      //Pixel 458: 9.058685e-01
0E8E8      //Pixel 459: 9.097900e-01
0E9E9      //Pixel 460: 9.137115e-01
0EAEA      //Pixel 461: 9.176331e-01
0EBEB      //Pixel 462: 9.215546e-01
0EDED      //Pixel 463: 9.293976e-01
0EEEE      //Pixel 464: 9.333191e-01
0EFEF      //Pixel 465: 9.372406e-01
0EFEF      //Pixel 466: 9.372406e-01
0F0F0      //Pixel 467: 9.411621e-01
0F1F1      //Pixel 468: 9.450836e-01
0F3F3      //Pixel 469: 9.529266e-01
0F3F3      //Pixel 470: 9.529266e-01
0F4F4      //Pixel 471: 9.568481e-01
0F4F4      //Pixel 472: 9.568481e-01
0F5F5      //Pixel 473: 9.607697e-01
0F5F5      //Pixel 474: 9.607697e-01
0F6F6      //Pixel 475: 9.646912e-01
0F5F5      //Pixel 476: 9.607697e-01
0F7F7      //Pixel 477: 9.686127e-01
0F7F7      //Pixel 478: 9.686127e-01
0F6F6      //Pixel 479: 9.646912e-01
0E9E9      //Pixel 480: 9.137115e-01
07979      //Pixel 481: 4.745026e-01
07373      //Pixel 482: 4.509735e-01
07575      //Pixel 483: 4.588165e-01
09292      //Pixel 484: 5.725403e-01
0ECEC      //Pixel 485: 9.254761e-01
0F3F3      //Pixel 486: 9.529266e-01
0F5F5      //Pixel 487: 9.607697e-01
0F4F4      //Pixel 488: 9.568481e-01
0F5F5      //Pixel 489: 9.607697e-01
0BFBF      //Pixel 490: 7.490082e-01
07676      //Pixel 491: 4.627380e-01
07E7E      //Pixel 492: 4.941101e-01
07979      //Pixel 493: 4.745026e-01
0D4D4      //Pixel 494: 8.313599e-01
0EEEE      //Pixel 495: 9.333191e-01
0ECEC      //Pixel 496: 9.254761e-01
0EBEB      //Pixel 497: 9.215546e-01
0EAEA      //Pixel 498: 9.176331e-01
0E9E9      //Pixel 499: 9.137115e-01
0E7E7      //Pixel 500: 9.058685e-01
0E7E7      //Pixel 501: 9.058685e-01
0E6E6      //Pixel 502: 9.019470e-01
0E5E5      //Pixel 503: 8.980255e-01
0E3E3      //Pixel 504: 8.901825e-01
0E1E1      //Pixel 505: 8.823395e-01
0DFDF      //Pixel 506: 8.744965e-01
0DEDE      //Pixel 507: 8.705750e-01
0DCDC      //Pixel 508: 8.627319e-01
0DBDB      //Pixel 509: 8.588104e-01
0D9D9      //Pixel 510: 8.509674e-01
0D7D7      //Pixel 511: 8.431244e-01
0CFCF      //Pixel 512: 8.117523e-01
0D2D2      //Pixel 513: 8.235168e-01
0D3D3      //Pixel 514: 8.274384e-01
0D4D4      //Pixel 515: 8.313599e-01
0D7D7      //Pixel 516: 8.431244e-01
0DEDE      //Pixel 517: 8.705750e-01
0E0E0      //Pixel 518: 8.784180e-01
0E1E1      //Pixel 519: 8.823395e-01
0E3E3      //Pixel 520: 8.901825e-01
0E5E5      //Pixel 521: 8.980255e-01
0E7E7      //Pixel 522: 9.058685e-01
0E8E8      //Pixel 523: 9.097900e-01
0E9E9      //Pixel 524: 9.137115e-01
0EAEA      //Pixel 525: 9.176331e-01
0ECEC      //Pixel 526: 9.254761e-01
0EDED      //Pixel 527: 9.293976e-01
0EEEE      //Pixel 528: 9.333191e-01
0EFEF      //Pixel 529: 9.372406e-01
0F0F0      //Pixel 530: 9.411621e-01
0F1F1      //Pixel 531: 9.450836e-01
0F1F1      //Pixel 532: 9.450836e-01
0F3F3      //Pixel 533: 9.529266e-01
0F3F3      //Pixel 534: 9.529266e-01
0F4F4      //Pixel 535: 9.568481e-01
0F4F4      //Pixel 536: 9.568481e-01
0F5F5      //Pixel 537: 9.607697e-01
0F6F6      //Pixel 538: 9.646912e-01
0F6F6      //Pixel 539: 9.646912e-01
0F7F7      //Pixel 540: 9.686127e-01
0F8F8      //Pixel 541: 9.725342e-01
0F7F7      //Pixel 542: 9.686127e-01
0F7F7      //Pixel 543: 9.686127e-01
0F0F0      //Pixel 544: 9.411621e-01
08B8B      //Pixel 545: 5.450897e-01
07272      //Pixel 546: 4.470520e-01
07979      //Pixel 547: 4.745026e-01
08989      //Pixel 548: 5.372467e-01
0E2E2      //Pixel 549: 8.862610e-01
0F4F4      //Pixel 550: 9.568481e-01
0F4F4      //Pixel 551: 9.568481e-01
0F4F4      //Pixel 552: 9.568481e-01
0F5F5      //Pixel 553: 9.607697e-01
0B8B8      //Pixel 554: 7.215576e-01
07575      //Pixel 555: 4.588165e-01
07A7A      //Pixel 556: 4.784241e-01
06F6F      //Pixel 557: 4.352875e-01
0CCCC      //Pixel 558: 7.999878e-01
0EFEF      //Pixel 559: 9.372406e-01
0ECEC      //Pixel 560: 9.254761e-01
0ECEC      //Pixel 561: 9.254761e-01
0EBEB      //Pixel 562: 9.215546e-01
0EAEA      //Pixel 563: 9.176331e-01
0E9E9      //Pixel 564: 9.137115e-01
0E8E8      //Pixel 565: 9.097900e-01
0E6E6      //Pixel 566: 9.019470e-01
0E4E4      //Pixel 567: 8.941040e-01
0E3E3      //Pixel 568: 8.901825e-01
0E1E1      //Pixel 569: 8.823395e-01
0E0E0      //Pixel 570: 8.784180e-01
0DEDE      //Pixel 571: 8.705750e-01
0DDDD      //Pixel 572: 8.666534e-01
0DBDB      //Pixel 573: 8.588104e-01
0D9D9      //Pixel 574: 8.509674e-01
0D8D8      //Pixel 575: 8.470459e-01
0D0D0      //Pixel 576: 8.156738e-01
0D2D2      //Pixel 577: 8.235168e-01
0D3D3      //Pixel 578: 8.274384e-01
0D4D4      //Pixel 579: 8.313599e-01
0D7D7      //Pixel 580: 8.431244e-01
0DEDE      //Pixel 581: 8.705750e-01
0E0E0      //Pixel 582: 8.784180e-01
0E1E1      //Pixel 583: 8.823395e-01
0E4E4      //Pixel 584: 8.941040e-01
0E6E6      //Pixel 585: 9.019470e-01
0E7E7      //Pixel 586: 9.058685e-01
0E8E8      //Pixel 587: 9.097900e-01
0E9E9      //Pixel 588: 9.137115e-01
0EAEA      //Pixel 589: 9.176331e-01
0ECEC      //Pixel 590: 9.254761e-01
0EDED      //Pixel 591: 9.293976e-01
0EEEE      //Pixel 592: 9.333191e-01
0EFEF      //Pixel 593: 9.372406e-01
0F0F0      //Pixel 594: 9.411621e-01
0F1F1      //Pixel 595: 9.450836e-01
0F2F2      //Pixel 596: 9.490051e-01
0F3F3      //Pixel 597: 9.529266e-01
0F3F3      //Pixel 598: 9.529266e-01
0F4F4      //Pixel 599: 9.568481e-01
0F4F4      //Pixel 600: 9.568481e-01
0F6F6      //Pixel 601: 9.646912e-01
0F6F6      //Pixel 602: 9.646912e-01
0F6F6      //Pixel 603: 9.646912e-01
0F6F6      //Pixel 604: 9.646912e-01
0ECEC      //Pixel 605: 9.254761e-01
0ECEC      //Pixel 606: 9.254761e-01
0F6F6      //Pixel 607: 9.646912e-01
0F4F4      //Pixel 608: 9.568481e-01
0A1A1      //Pixel 609: 6.313629e-01
07474      //Pixel 610: 4.548950e-01
