A2FA4      //Pattern000: RSSIA=-93.0225
A97AD      //Pattern064: RSSIB=-86.5203
A21B9      //Pattern064: RSSIC=-93.8923
A4C89      //Pattern065: RSSIA=-91.2166
A6B90      //Pattern065: RSSIB=-89.2773
A3AF1      //Pattern065: RSSIC=-92.3162
AEB21      //Pattern066: RSSIA=-81.3044
A31BC      //Pattern066: RSSIB=-92.8916
9FD4F      //Pattern066: RSSIC=-96.1682
A26F6      //Pattern067: RSSIA=-93.5649
AA5CF      //Pattern067: RSSIB=-85.637
A47E5      //Pattern067: RSSIC=-91.5066
A82FB      //Pattern068: RSSIA=-87.8137
A4135      //Pattern068: RSSIB=-91.9246
A1D71      //Pattern068: RSSIC=-94.1599
A39A8      //Pattern069: RSSIA=-92.3965
A4FF4      //Pattern069: RSSIB=-91.0029
A556C      //Pattern069: RSSIC=-90.6611
A7BB4      //Pattern070: RSSIA=-88.2686
A5C73      //Pattern070: RSSIB=-90.2219
A1BAF      //Pattern070: RSSIC=-94.2698
A9D4F      //Pattern071: RSSIA=-86.1682
A4A47      //Pattern071: RSSIB=-91.3577
A0FA8      //Pattern071: RSSIC=-95.0215
A1178      //Pattern072: RSSIA=-94.9082
A6705      //Pattern072: RSSIB=-89.5613
A8172      //Pattern072: RSSIC=-87.9097
A11FC      //Pattern073: RSSIA=-94.876
A5547      //Pattern073: RSSIB=-90.6702
A9038      //Pattern073: RSSIC=-86.9863
AF5B5      //Pattern074: RSSIA=-80.6433
A326B      //Pattern074: RSSIB=-92.8489
9FA7C      //Pattern074: RSSIC=-96.3447
A1C3E      //Pattern075: RSSIA=-94.2349
A9618      //Pattern075: RSSIB=-86.6191
A57BC      //Pattern075: RSSIC=-90.5166
AD8E6      //Pattern076: RSSIA=-82.4438
A3B1A      //Pattern076: RSSIB=-92.3062
9FE3C      //Pattern076: RSSIC=-96.1104
A48F5      //Pattern077: RSSIA=-91.4402
A660D      //Pattern077: RSSIB=-89.6218
A400C      //Pattern077: RSSIC=-91.9971
A5D14      //Pattern078: RSSIA=-90.1826
A6B1B      //Pattern078: RSSIB=-89.3059
A2CBB      //Pattern078: RSSIC=-93.2043
A2E6A      //Pattern079: RSSIA=-93.0991
A9C1E      //Pattern079: RSSIB=-86.2427
A4541      //Pattern079: RSSIC=-91.6716
A6B90      //Pattern080: RSSIA=-89.2773
A6426      //Pattern080: RSSIB=-89.7407
A23FD      //Pattern080: RSSIC=-93.7507
A405C      //Pattern081: RSSIA=-91.9775
A4951      //Pattern081: RSSIB=-91.4177
A4E44      //Pattern081: RSSIC=-91.1084
A9E3F      //Pattern082: RSSIA=-86.1096
A3D50      //Pattern082: RSSIB=-92.168
A11E5      //Pattern082: RSSIC=-94.8816
A2BE4      //Pattern083: RSSIA=-93.2568
A710D      //Pattern083: RSSIB=-88.9343
A5B68      //Pattern083: RSSIC=-90.2871
AB609      //Pattern084: RSSIA=-84.6228
A3695      //Pattern084: RSSIB=-92.5886
A0A3F      //Pattern084: RSSIC=-95.3596
A58EB      //Pattern085: RSSIA=-90.4426
A8008      //Pattern085: RSSIB=-87.998
A279E      //Pattern085: RSSIC=-93.5239
A3231      //Pattern086: RSSIA=-92.863
AB0B9      //Pattern086: RSSIB=-84.9548
A3967      //Pattern086: RSSIC=-92.4124
A1C2F      //Pattern087: RSSIA=-94.2385
A743A      //Pattern087: RSSIB=-88.7358
A6BE3      //Pattern087: RSSIC=-89.2571
A1E1A      //Pattern088: RSSIA=-94.1187
AA192      //Pattern088: RSSIB=-85.9019
A50A8      //Pattern088: RSSIC=-90.959
A6B1B      //Pattern089: RSSIA=-89.3059
A7CB3      //Pattern089: RSSIB=-88.2063
A1721      //Pattern089: RSSIC=-94.5544
A0C99      //Pattern090: RSSIA=-95.2126
A47E5      //Pattern090: RSSIB=-91.5066
AA5CF      //Pattern090: RSSIC=-85.637
A13CA      //Pattern091: RSSIA=-94.7632
A6F4F      //Pattern091: RSSIB=-89.0432
A7819      //Pattern091: RSSIC=-88.4939
A972F      //Pattern092: RSSIA=-86.551
A485E      //Pattern092: RSSIB=-91.4771
A1312      //Pattern092: RSSIC=-94.8081
A2C48      //Pattern093: RSSIA=-93.2324
A9259      //Pattern093: RSSIB=-86.8533
A4B8A      //Pattern093: RSSIC=-91.2788
A3150      //Pattern094: RSSIA=-92.918
A80D3      //Pattern094: RSSIB=-87.9485
A4E44      //Pattern094: RSSIC=-91.1084
A89E3      //Pattern095: RSSIA=-87.3821
A43CE      //Pattern095: RSSIB=-91.7622
A19F9      //Pattern095: RSSIC=-94.3767
A839F      //Pattern096: RSSIA=-87.7737
A4F9B      //Pattern096: RSSIB=-91.0247
A1B17      //Pattern096: RSSIC=-94.3069
A07A4      //Pattern097: RSSIA=-95.5225
A49EA      //Pattern097: RSSIB=-91.3804
AADF5      //Pattern097: RSSIC=-85.1277
A49EA      //Pattern098: RSSIA=-91.3804
AADF5      //Pattern098: RSSIB=-85.1277
A1FD5      //Pattern098: RSSIC=-94.0105
A0283      //Pattern099: RSSIA=-95.843
A3D50      //Pattern099: RSSIB=-92.168
AC9F6      //Pattern099: RSSIC=-83.3774
